CODE	CON2	CON3	DIST	QUAR	VIL	CLAN	SEXE	SELF	BUD	TABLE	SALON	AGE	ETU5	ETU2
323	Non	0	250	Elig Messobo	Yemessoa II	Béti	Homme	(1) Petit	3250	Oui	Non	31	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
209	Non	0	15	Mebang Mengoe	Yemessoa I	Béti	Homme	(2) Moyen	9000	Non	Oui	31	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
56	Non	0	15	Nkol Ambenbe	Yemessoa III	Béti	Homme	(2) Moyen	5000	Non	Non	31	ETU4 : Collège	ETU2 : Supérieur au CEP
23	Oui	1	20	Nkol Ambenbe	Yemessoa III	Béti	Homme	(1) Petit	3700	Oui	Non	31	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
97	Non	0	15	Nkol Nguégué	Yemessoa I	Béti	Homme	(2) Moyen	1300	Oui	Non	31	ETU4 : Collège	ETU2 : Supérieur au CEP
116	Non	0	20	Nkol Nguégué	Yemessoa I	Béti	Homme	(1) Petit	1650	Oui	Non	31	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
136	Oui	2	10	Biling Bitom	Yemessoa I	Béti	Homme	(1) Petit	3700	Oui	Oui	32	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
172	Oui	1	20	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	1850	Oui	Non	32	ETU4 : Collège	ETU2 : Supérieur au CEP
130	Oui	2	30	Biling Bitom	Yemessoa I	Béloua	Homme	(1) Petit	3100	Oui	Non	32	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
75	Non	0	1000	Edip Ndam	Yemessoa III	Béti	Femme	(1) Petit	1200	Non	Non	32	ETU1: Aucun	ETU1: inférieur au CEP
224	Oui	2	15	Mebang Mengoe	Yemessoa I	Béti	Homme	(3) Grand	13150	Oui	Oui	32	ETU4 : Collège	ETU2 : Supérieur au CEP
191	Oui	2	15	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	3650	Non	Non	33	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
21	Non	0	20	Nkol Ambenbe	Yemessoa III	Béti	Homme	(1) Petit	10265	Non	Non	33	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
22	Oui	1	100	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	3950	Oui	Non	33	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
256	Non	0	1000	Zogo Ntso	Yemessoa I	Béti	Femme	(2) Moyen	1800	Oui	Non	33	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
221	Non	0	300	Biling Bitom	Yemessoa I	Béti	Homme	(1) Petit	2550	Oui	Non	34	ETU4 : Collège	ETU2 : Supérieur au CEP
228	Oui	2	8	Mebang Mengoe	Yemessoa I	Béti	Homme	(3) Grand	3500	Oui	Non	34	ETU4 : Collège	ETU2 : Supérieur au CEP
115	Non	0	15	Nkol Nguégué	Yemessoa I	Béti	Homme	(1) Petit	7125	Oui	Oui	34	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
119	Oui	1	20	Biling Bitom	Yemessoa I	Béti	Femme	(3) Grand	950	Oui	Oui	35	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
174	Oui	2	15	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	3155	Non	Non	35	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
179	Oui	2	25	Biling Bitom	Yemessoa I	Béti	Homme	(3) Grand	3600	Oui	Non	35	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
189	Oui	2	100	Biling Bitom	Yemessoa I	Béti	Homme	(1) Petit	17350	Oui	Oui	35	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
263	Oui	2	5	Elig Messobo	Yemessoa II	Béti	Homme	(1) Petit	3900	Oui	Non	35	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
290	Oui	2	5	Elig Messobo	Yemessoa II	Béti	Homme	(1) Petit	13475	Oui	Non	35	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
293	Oui	2	7	Elig messobo	Yemessoa II	Béti	Homme	(3) Grand	6975	Oui	Oui	35	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
274	Non	0	1000	Mebang Mengoe	Yemessoa I	Béti	Homme	(1) Petit	15500	Non	Non	35	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
72	Oui	2	10	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	7850	Oui	Oui	35	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
70	Oui	1	20	Nkol Ambenbe	Yemessoa III	Béti	Homme	(2) Moyen	5100	Oui	Oui	35	ETU4 : Collège	ETU2 : Supérieur au CEP
34	Non	0	25	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	23000	Oui	Oui	35	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
89	Non	0	1500	Nkol Mekongo	Yemessoa III	Béloua	Homme	(1) Petit	3350	Non	Non	35	ETU4 : Collège	ETU2 : Supérieur au CEP
131	Non	0	200	Nkol Nguégué	Yemessoa I	Béti	Homme	(1) Petit	950	Non	Non	35	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
144	Oui	2	10	Biling Bitom	Yemessoa I	Béti	Homme	(1) Petit	2700	Oui	Non	36	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
123	Oui	2	30	Biling Bitom	Yemessoa I	Béloua	Homme	(3) Grand	10550	Oui	Oui	36	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
199	Oui	2	10	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	3000	Oui	Non	36	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
7	Oui	2	50	Nkol Ambenbe	Yemessoa III	Béti	Homme	(1) Petit	26000	Oui	Oui	36	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
132	Non	0	50	Nkol Nguégué	Yemessoa I	Béloua	Femme	(2) Moyen	1850	Oui	Non	36	ETU4 : Collège	ETU2 : Supérieur au CEP
291	Oui	2	10	Elig Messobo	Yemessoa II	Béti	Homme	(1) Petit	5700	Oui	Non	37	ETU4 : Collège	ETU2 : Supérieur au CEP
197	Non	0	800	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	1850	Non	Non	37	ETU1: Aucun	ETU1: inférieur au CEP
83	Non	0	1500	Elig Messobo	Yemessoa II	Béloua	Homme	(3) Grand	3700	Non	Non	37	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
230	Non	0	30	Mebang Mengoe	Yemessoa I	Béti	Homme	(2) Moyen	36000	Oui	Non	37	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
35	Non	0	15	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	3500	Non	Non	37	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
92	Non	0	1800	Nkol Mekongo	Yemessoa III	Béloua	Homme	(3) Grand	3250	Non	Non	37	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
135	Non	0	30	Biling Bitom	Yemessoa I	Béloua	Femme	(1) Petit	1300	Non	Non	38	ETU1: Aucun	ETU1: inférieur au CEP
181	Non	0	30	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	3200	Non	Oui	38	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
310	Oui	1	10	Elig Messobo	Yemessoa II	Béti	Femme	(1) Petit	4750	Oui	Non	38	ETU4 : Collège	ETU2 : Supérieur au CEP
301	Non	0	15	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	3875	Oui	Non	38	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
287	Non	0	700	Zogo Ntso	Yemessoa I	Béti	Homme	(2) Moyen	6025	Non	Non	38	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
150	Oui	2	30	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	2100	Oui	Oui	39	ETU4 : Collège	ETU2 : Supérieur au CEP
151	Oui	2	30	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	3000	Non	Non	39	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
342	Oui	2	5	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	2675	Oui	Non	39	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
49	Oui	2	20	Elig Messobo	Yemessoa II	Béti	Homme	(3) Grand	3310	Oui	Oui	39	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
315	Non	0	20	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	3900	Oui	Non	39	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
328	Oui	2	20	Elig Messobo	Yemessoa II	Béti	Homme	(3) Grand	4500	Non	Non	39	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
271	Oui	1	30	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	2250	Non	Non	39	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
273	Oui	1	350	Elig Messobo	Yemessoa II	Béti	Homme	(1) Petit	2100	Oui	Non	39	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
322	Non	0	300	Edip Ndam	Yemessoa III	Béti	Femme	(3) Grand	3875	Oui	Oui	40	ETU4 : Collège	ETU2 : Supérieur au CEP
294	Non	0	10	Elig Messobo	Yemessoa II	Béloua	Homme	(3) Grand	850	Non	Non	40	ETU4 : Collège	ETU2 : Supérieur au CEP
227	Oui	1	300	Mebang Mengoe	Yemessoa I	Béti	Homme	(2) Moyen	7100	Oui	Non	40	ETU4 : Collège	ETU2 : Supérieur au CEP
252	Non	0	300	Mebang Mengoe	Yemessoa I	Béti	Homme	(2) Moyen	5400	Oui	Oui	40	ETU1: Aucun	ETU1: inférieur au CEP
196	Non	0	800	Mebang Mengoe	Yemessoa I	Béti	Homme	(3) Grand	3950	Non	Non	40	ETU1: Aucun	ETU1: inférieur au CEP
42	Oui	1	12	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	1250	Oui	Oui	40	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
36	Non	0	20	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	3500	Oui	Non	40	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
62	Non	0	20	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	10900	Oui	Oui	40	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
277	Oui	1	1000	Zogo Ntso	Yemessoa I	Béti	Homme	(3) Grand	9400	Oui	Non	40	ETU4 : Collège	ETU2 : Supérieur au CEP
267	Oui	1	300	Elig Messobo	Yemessoa II	Béti	Homme	(1) Petit	3625	Oui	Non	41	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
214	Oui	1	20	Mebang Mengoe	Yemessoa I	Béti	Femme	(2) Moyen	2975	Oui	Non	41	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
275	Non	0	600	Mebang Mengoe	Yemessoa I	Béti	Homme	(1) Petit	2200	Non	Non	41	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
159	Non	0	500	Zogo Ntso	Yemessoa I	Béti	Homme	(3) Grand	3700	Oui	Oui	41	ETU1: Aucun	ETU1: inférieur au CEP
187	Oui	2	15	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	33500	Oui	Oui	42	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
254	Oui	2	18	Mebang Mengoe	Yemessoa I	Béti	Homme	(3) Grand	23850	Oui	Oui	42	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
67	Non	0	5	Nkol Ambenbe	Yemessoa III	Béti	Homme	(2) Moyen	3000	Oui	Oui	42	ETU4 : Collège	ETU2 : Supérieur au CEP
3	Oui	2	10	Nkol Ambenbe	Yemessoa III	Béti	Homme	(2) Moyen	3000	Oui	Oui	42	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
38	Non	0	12	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	10000	Oui	Oui	42	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
9	Oui	1	50	Nkol Ambenbe	Yemessoa III	Béti	Homme	(2) Moyen	8500	Oui	Oui	42	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
219	Oui	1	50	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	2650	Oui	Non	43	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
122	Oui	1	100	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	1550	Oui	Non	43	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
156	Oui	1	200	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	3200	Oui	Non	43	ETU4 : Collège	ETU2 : Supérieur au CEP
340	Oui	2	5	Elig Messobo	Yemessoa II	Béti	Femme	(2) Moyen	3075	Oui	Non	43	ETU1: Aucun	ETU1: inférieur au CEP
288	Oui	2	30	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	7325	Oui	Non	43	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
330	Oui	2	40	Elig Messobo	Yemessoa II	Béti	Homme	(1) Petit	5700	Non	Non	43	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
269	Oui	1	400	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	2950	Oui	Non	43	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
82	Non	0	15	Nkol Ambenbe	Yemessoa III	Béti	Homme	(1) Petit	8800	Non	Non	43	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
114	Non	0	25	Nkol Nguégué	Yemessoa I	Béti	Homme	(3) Grand	3700	Non	Non	43	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
109	Non	0	30	Nkol Nguégué	Yemessoa I	Béti	Homme	(2) Moyen	800	Oui	Non	43	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
112	Non	0	30	Nkol Nguégué	Yemessoa I	Béti	Homme	(2) Moyen	900	Oui	Non	43	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
257	Non	0	1000	Zogo Ntso	Yemessoa I	Béti	Homme	(1) Petit	8025	Non	Non	43	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
339	Oui	1	20	Elig Messobo	Yemessoa II	Béti	Homme	(3) Grand	1925	Non	Non	44	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
268	Non	0	250	Elig Messobo	Yemessoa II	Béti	Homme	(3) Grand	2050	Oui	Non	44	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
259	Non	0	1000	Mebang Mengoe	Yemessoa I	Béti	Homme	(3) Grand	3250	Non	Non	44	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
125	Non	0	200	Nkol Nguégué	Yemessoa I	Béti	Homme	(2) Moyen	2000	Non	Non	44	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
169	Oui	2	1500	Zogo Ntso	Yemessoa I	Béti	Homme	(3) Grand	3300	Oui	Oui	44	ETU1: Aucun	ETU1: inférieur au CEP
220	Oui	2	8	Biling Bitom	Yemessoa I	Béti	Homme	(3) Grand	3200	Non	Non	45	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
175	Oui	2	20	Biling Bitom	Yemessoa I	Béti	Homme	(3) Grand	2500	Oui	Non	45	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
251	Non	0	25	Mebang Mengoe	Yemessoa I	Béti	Femme	(2) Moyen	1775	Oui	Oui	45	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
247	Non	0	200	Mebang Mengoe	Yemessoa I	Béti	Homme	(2) Moyen	2000	Oui	Non	45	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
186	Non	0	600	Nkol Mekongo	Yemessoa III	Béti	Homme	(3) Grand	17000	Oui	Oui	45	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
15	Non	0	3000	Nkol Mekongo	Yemessoa III	Béti	Homme	(3) Grand	1850	Oui	Non	45	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
107	Non	0	20	Nkol Nguégué	Yemessoa I	Béti	Homme	(1) Petit	800	Oui	Non	45	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
46	Oui	2	10	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	5350	Oui	Oui	46	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
100	Oui	2	5	Nkol Nguégué	Yemessoa I	Béti	Homme	(3) Grand	2325	Oui	Oui	46	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
327	Oui	2	5	Elig Messobo	Yemessoa II	Béti	Femme	(3) Grand	2000	Oui	Non	47	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
102	Non	0	150	Nkol Nguégué	Yemessoa I	Béloua	Homme	(1) Petit	900	Non	Non	47	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
236	Oui	2	2	Biling Bitom	Yemessoa I	Béloua	Femme	(2) Moyen	3000	Non	Non	48	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
143	Non	0	30	Biling Bitom	Yemessoa I	Béti	Homme	(3) Grand	1700	Oui	Oui	48	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
146	Non	0	30	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	3600	Non	Non	48	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
320	Non	0	350	Edip Ndam	Yemessoa III	Béti	Femme	(3) Grand	2000	Non	Non	48	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
326	Non	0	20	Elig Messobo	Yemessoa II	Béti	Homme	(3) Grand	10400	Non	Non	48	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
343	Non	0	500	Elig Messobo	Yemessoa II	Béti	Homme	(1) Petit	2300	Non	Non	48	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
30	Non	0	30	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	1600	Oui	Non	48	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
188	Non	0	550	Nkol Mekongo	Yemessoa III	Béti	Homme	(3) Grand	7825	Oui	Non	48	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
118	Oui	2	50	Nkol Nguégué	Yemessoa I	Béloua	Homme	(2) Moyen	3600	Non	Non	48	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
126	Oui	2	5	Biling Bitom	Yemessoa I	Béti	Homme	(3) Grand	3775	Oui	Oui	49	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
173	Oui	1	300	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	3250	Oui	Oui	49	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
194	Oui	2	5	Elig Messobo	Yemessoa II	Béti	Homme	(3) Grand	2200	Non	Non	49	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
5	Oui	1	10	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	5000	Oui	Oui	49	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
76	Non	0	20	Nkol Ambenbe	Yemessoa III	Béti	Homme	(2) Moyen	3200	Oui	Oui	49	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
101	Non	0	20	Nkol Nguégué	Yemessoa I	Béloua	Homme	(1) Petit	1912	Oui	Non	49	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
95	Non	0	35	Nkol Nguégué	Yemessoa I	Béti	Homme	(3) Grand	2650	Oui	Non	49	ETU4 : Collège	ETU2 : Supérieur au CEP
246	Non	0	1500	Nkol Nguégué	Yemessoa I	Béti	Homme	(2) Moyen	13003	Oui	Non	49	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
255	Non	0	1000	Zogo Ntso	Yemessoa I	Béti	Homme	(3) Grand	45000	Non	Non	49	ETU1: Aucun	ETU1: inférieur au CEP
149	Oui	2	10	Biling Bitom	Yemessoa I	Béti	Femme	(2) Moyen	2500	Non	Non	50	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
217	Oui	2	570	Biling Bitom	Yemessoa I	Béti	Femme	(2) Moyen	3675	Oui	Oui	50	ETU1: Aucun	ETU1: inférieur au CEP
177	Oui	2	10	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	3200	Oui	Oui	50	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
142	Oui	2	20	Biling Bitom	Yemessoa I	Béloua	Homme	(2) Moyen	3000	Oui	Non	50	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
296	Oui	2	7	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	2125	Oui	Non	50	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
272	Oui	1	350	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	5300	Non	Non	50	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
225	Oui	1	200	Mebang Mengoe	Yemessoa I	Béti	Homme	(3) Grand	5550	Non	Non	50	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
319	Non	0	12	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	4700	Non	Non	50	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
19	Non	0	60	Nkol Ambenbe	Yemessoa III	Béti	Homme	(2) Moyen	10250	Oui	Non	50	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
90	Non	0	1700	Nkol Mekongo	Yemessoa III	Béloua	Femme	(3) Grand	10000	Oui	Non	50	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
65	Non	0	600	Nkol Mekongo	Yemessoa III	Béti	Homme	(3) Grand	7600	Oui	Non	50	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
86	Non	0	1500	Nkol Mekongo	Yemessoa III	Béti	Homme	(2) Moyen	3800	Oui	Non	50	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
282	Non	0	600	Zogo Ntso	Yemessoa I	Béti	Homme	(1) Petit	4700	Oui	Non	50	ETU4 : Collège	ETU2 : Supérieur au CEP
164	Non	0	3000	Zogo Ntso	Yemessoa I	Béti	Homme	(2) Moyen	3250	Non	Non	50	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
141	Non	0	15	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	3200	Non	Non	51	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
309	Oui	2	15	Elig Messobo	Yemessoa II	Béti	Homme	(3) Grand	4800	Oui	Oui	51	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
208	Oui	1	10	Mebang Mengoe	Yemessoa I	Béti	Homme	(3) Grand	6200	Oui	Oui	51	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
66	Oui	2	600	Nkol Mekongo	Yemessoa III	Béti	Homme	(2) Moyen	9030	Oui	Oui	51	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
303	Non	0	2000	Zogo Ntso	Yemessoa I	Béti	Femme	(1) Petit	13000	Oui	Oui	51	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
137	Non	0	7	Biling Bitom	Yemessoa I	Béti	Femme	(2) Moyen	1700	Oui	Non	52	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
239	Oui	2	1000	Biling Bitom	Yemessoa I	Béloua	Homme	(1) Petit	3825	Oui	Oui	52	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
68	Non	0	15	Nkol Ambenbe	Yemessoa III	Béti	Femme	(1) Petit	3700	Oui	Oui	52	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
317	Non	0	20	Nkol Ambenbe	Yemessoa III	Béti	Femme	(3) Grand	425	Non	Non	52	ETU1: Aucun	ETU1: inférieur au CEP
201	Non	0	30	Nkol Ambenbe	Yemessoa III	Béti	Femme	(3) Grand	1600	Non	Non	52	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
94	Non	0	25	Nkol Nguégué	Yemessoa I	Béti	Homme	(3) Grand	3250	Oui	Non	52	ETU4 : Collège	ETU2 : Supérieur au CEP
162	Non	0	2500	Zogo Ntso	Yemessoa I	Béti	Homme	(2) Moyen	3200	Oui	Oui	52	ETU1: Aucun	ETU1: inférieur au CEP
163	Non	0	3000	Zogo Ntso	Yemessoa I	Béti	Homme	(2) Moyen	3700	Oui	Oui	52	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
167	Non	0	3000	Zogo Ntso	Yemessoa I	Béti	Homme	(3) Grand	3700	Non	Non	52	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
